id,uuid,name,description,plan_type_id,plan_status_id,price,display_order,yearly_plan_id,minimum_charge,includes_studio_management,currency_code,created,created_by,last_updated,last_updated_user_id
224,ae0149af-def8-4892-8a82-4f2f6b29f6be,"WalkMe - Testing 1,500 plan","A 1,500 plan for WalkMe Testing",1,2,0.000,5,,,1,USD,2017-11-13 20:15:11.000000,27817,,
56,78a91990-ed98-410a-a701-24f757320f36,Boudoir & Fashion,115 songs,6,1,50.000,1,,,0,USD,2014-02-23 19:56:27.000000,233,,
249,67a9fb59-233d-45a7-b3c7-6fd1f8ede3b8,"800,000 Monthly Plan",For volume photographers,1,2,400.000,112,,,1,USD,2019-02-05 19:39:09.000000,27817,,
114,ee2cd9a2-3560-40c5-b8c4-bb17304682cc,Boudoir & Fashion,115 songs,5,1,4.000,1,113,,0,GBP,2016-08-29 10:48:56.000000,,,
324,34d66301-ae94-4f98-920d-386950a86697,BF EURO Unlimited Monthly,This is a special plan created for Black Friday 2020.,7,2,45.000,255,,,1,EUR,2020-10-01 12:42:30.000000,66651,,
261,c97303b2-be8e-427a-90a2-371927e538c0,"1,000,000 Monthly Plan - Brazil",For volume photographers in Brazil,1,2,300.000,122,,,1,USD,2019-07-31 14:09:23.000000,184065,,
87,1672fbb0-95de-46dc-a5e2-5c023b28bba4,"1,000,000 Monthly Plan",For volume photographers,1,2,500.000,98,,,1,USD,2015-11-12 17:22:33.000000,27817,,
184,66c03cbd-32f4-4d64-ac88-61033872bd5f,"Babies, Kids & Family",115 songs,6,1,70.000,50,,,0,AUD,2016-08-29 10:48:57.000000,,,
303,f99d3966-c4dd-4785-bd27-fbb6c53ce531,"BF GBP 1,500 Yearly",This is a special plan created for Black Friday 2020.,3,2,80.000,101,,,1,GBP,2020-10-01 12:22:29.000000,66651,2020-10-01 12:27:07.000000,66651
269,8a10af61-1a63-4c85-a5ce-2f84c4005426,"BF USD 5,000 Yearly",This is a special plan created for Black Friday 2020.,3,2,200.000,251,,,1,USD,2020-09-30 12:35:15.000000,66651,,
192,34bdcd74-af47-4036-b57f-7d226acb6716,"Plan 1,000,000 - Eivan's",Eivan's,3,2,2000.000,115,,,1,USD,2016-10-28 19:33:59.000000,27817,2017-10-04 20:05:30.000000,27817
287,381eef65-feba-4801-9388-fab5c43922ad,"BF CAD 100,000 Yearly",This is a special plan created for Black Friday 2020.,3,2,570.000,255,,,1,CAD,2020-09-30 13:10:39.000000,66651,,
293,db16d3e4-0345-477c-8676-6986dfe7f02d,"BF AUD 5,000 Yearly",This is a special plan created for Black Friday 2020.,3,2,280.000,151,,,1,AUD,2020-10-01 12:05:33.000000,66651,,
176,39b5a55c-1497-42d6-b7c7-8a6cf9e95f0c,"Plan 100,000","",3,1,610.000,5,,,1,AUD,2016-08-29 10:48:57.000000,,,
252,6a97cec2-9510-4f0b-a057-682d73731711,"300,000 Yearly Plan","300,000 yearly photo plan for volume studios",3,2,1500.000,115,,,1,USD,2019-02-05 20:04:23.000000,27817,,
196,9b2ca6e0-aeea-4f10-9f27-b03c6bf00ae0,"Plan 1,500","",3,1,50.000,1,,,1,USD,2017-03-27 15:41:34.000000,,,
250,3b2a80c9-0122-407a-ad7d-77e71fa323e8,"900,000 Monthly Plan",For volume photographers,1,2,450.000,113,,,1,USD,2019-02-05 19:43:00.000000,27817,,
198,9ee190a2-c1da-4edd-be37-fa5702f44fd4,"Plan 5,000","",3,1,100.000,2,,,1,USD,2017-03-27 15:41:34.000000,,,
107,2759a44d-9dee-4195-b17a-535c99240eec,Weddings & Love,115 songs,6,1,40.000,1,,,0,GBP,2016-08-29 10:48:56.000000,,,
65,b41ed324-f17e-4f4c-b652-2f40f40b0424,Gene Ho Photography,"50,000 Plan - Gene Ho",1,3,30.000,55,23,,1,USD,2014-04-08 01:06:28.000000,234,2016-07-26 14:46:13.000000,233
95,b1212766-b20c-4b41-86d3-5a147e3c2a28,"Plan 5,000","",3,1,160.000,2,,,1,GBP,2016-08-29 10:48:56.000000,,,
166,65becadc-b4b0-48a0-b76c-1a865be8b61a,Sports & Action,115 songs,5,1,6.000,1,165,,0,CAD,2016-08-29 10:48:57.000000,,,
267,69ed94e3-0884-483c-8a43-bed07dfbfea7,"BF USD 1,500 Yearly",This is a special plan created for Black Friday 2020.,3,2,100.000,201,,,1,USD,2020-09-30 12:30:23.000000,66651,,
313,4936a165-8d98-40e5-b274-a31c0563cd5b,BF GBP Unlimited Yearly,This is a special plan created for Black Friday 2020.,8,2,380.000,255,,,1,GBP,2020-10-01 12:30:01.000000,66651,,
158,8a1eff0c-efca-42c0-ab40-9393ab1ca210,Weddings & Love,115 songs,5,1,6.000,1,157,,0,CAD,2016-08-29 10:48:57.000000,,,
304,2bc62da8-f20e-4054-8916-067bdf6494a9,"BF GBP 5,000 Monthly",This is a special plan created for Black Friday 2020.,1,2,16.000,150,,,1,GBP,2020-10-01 12:23:00.000000,66651,,
234,c1980af6-1f27-40d9-acfd-f2e58268c2bd,"200,000 Monthly Plan","200,000 monthly photo plan for volume studios",1,2,122.000,198,,,1,AUD,2018-06-07 14:51:11.000000,27817,,
235,84d5912c-76ed-4492-b761-17e1964b5670,"200,000 Monthly Plan","200,000 monthly photo plan for volume studios",1,2,114.000,212,,,1,CAD,2018-06-07 14:52:09.000000,27817,,
310,4a1a22d3-acb6-486d-a7ae-246c38ae09eb,"BF GBP 100,000 Monthly",This is a special plan created for Black Friday 2020.,1,2,34.000,255,,,1,GBP,2020-10-01 12:28:35.000000,66651,,
19,85a7b3af-c029-4560-b545-6c97b0f74fd0,Plan 500,"",1,3,5.000,9,,,1,USD,2011-07-09 20:22:58.000000,234,2016-07-26 14:49:17.000000,233
253,fbb80e22-64f1-4abc-a73e-29eaef1d508b,"400,000 Yearly Plan","400,000 yearly photo plan for volume studios",3,2,2000.000,115,,,1,USD,2019-02-05 20:08:27.000000,27817,,
200,b03c3afe-be20-4505-b4d4-44999dbcb3c2,"Plan 25,000","",3,1,150.000,3,,,1,USD,2017-03-27 15:41:34.000000,,,
204,4b8dc8da-103e-4a10-a831-e9e21dacbdc2,"Plan 100,000","",3,1,300.000,5,,,1,USD,2017-03-27 15:41:35.000000,,,
72,7d77815a-d106-4b07-be20-d609b423de82,Unlimited - 1 Photographer,Wedding Pro,8,1,600.000,3,,,1,USD,2014-11-05 03:19:24.000000,234,2017-09-08 14:45:51.000000,233
124,8354b624-d811-4e1d-8a47-df76d8637970,"Plan 50,000","",3,1,360.000,4,,,1,EUR,2016-08-29 10:48:56.000000,,,
160,11e4f7c7-6366-4394-baec-6418fc37883d,"Babies, Kids & Family",115 songs,5,1,6.000,1,159,,0,CAD,2016-08-29 10:48:57.000000,,,
306,a9398c48-8fc8-46ce-bf73-39f2aba57d50,"BF GBP 25,000 Monthly",This is a special plan created for Black Friday 2020.,1,2,24.000,200,,,1,GBP,2020-10-01 12:23:59.000000,66651,,
154,9de7bf77-6fc5-49c0-89be-c4107e1abc8c,Unlimited - 1 Photographer,Wedding Pro,7,1,65.000,1,153,,1,CAD,2016-08-29 10:48:57.000000,,,
40,76acc0bc-7101-40ad-b3eb-b68d43d6c882,Rachel Brenke,"",1,3,0.000,1,,,1,USD,2013-09-05 19:38:32.000000,234,2016-07-26 14:50:30.000000,233
3,05df1644-945c-4a71-be45-621f5886f2ff,"Plan 25,000",Emerging Pro,1,1,30.000,4,22,,1,USD,2010-06-03 22:01:17.000000,,2015-11-05 15:39:49.000000,233
